"EA-Type";"EA-Package";"EA-Name";"EA-Parent";"EA-Domain";"EA-Range";"label-nl";"ap-definition-nl";"ap-usageNote-nl";"ap-codelist";"external term";"namespace";"localname";"type";"domain";"range";"parent";"min card";"max card"
"attribute";"OSLO-Persoon";"datumVanOverlijden";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"datumVanOverlijden";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"geboorteDatum";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"geboorteDatum";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"geboorteNaam";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"geboorteNaam";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"geboorteplaats";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"geboorteplaats";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"geslacht";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"geslacht";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"identificator";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"identificator";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"isTeBereikenOp";;"Persoon";"ContactInfo";"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"isTeBereikenOp";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://data.vlaanderen.be/ns/persoon#Persoon";"https://schema.org/ContactPoint";;1;1
"attribute";"OSLO-Persoon";"naam";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"naam";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"nationaliteit";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"nationaliteit";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"patroniem";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"patroniem";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"plaatsVanOverlijden";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"plaatsVanOverlijden";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"volledigeNaam";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"volledigeNaam";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"voornaam";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"voornaam";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Adres";"Busnummer";;"Adres";"String";"busnummer";"TODO";;;"true";"http://data.vlaanderen.be/ns/adres#";"Busnummer";"http://www.w3.org/2002/07/owl#DatatypeProperty";"http://data.vlaanderen.be/ns/adres#Adres";"http://www.w3.org/2001/XMLSchema#string";;1;1
"attribute";"OSLO-Adres";"Huisnummer";;"Adres";"String";"huisnummer";"TODO";;;"true";"http://data.vlaanderen.be/ns/adres#";"Huisnummer";"http://www.w3.org/2002/07/owl#DatatypeProperty";"http://data.vlaanderen.be/ns/adres#Adres";"http://www.w3.org/2001/XMLSchema#string";;1;1
"attribute";"OSLO-Adres";"IsNietOfficieel";;"Adres";"Boolean";"is niet officieel";"TODO";;;"true";"http://data.vlaanderen.be/ns/adres#";"IsNietOfficieel";"http://www.w3.org/2002/07/owl#DatatypeProperty";"http://data.vlaanderen.be/ns/adres#Adres";"http://www.w3.org/2001/XMLSchema#boolean";;1;1
"attribute";"OSLO-Adres";"Positie";;"Adres";"GeografischePositie";"positie";"TODO";;;"true";"http://data.vlaanderen.be/ns/adres#";"Positie";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://data.vlaanderen.be/ns/adres#Adres";"http://fixme.com#GeografischePositie";;1;1
"attribute";"OSLO-Adres";"Status";;"Adres";"AdresStatus";"status";"TODO";;;"true";"http://data.vlaanderen.be/ns/adres#";"Status";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://data.vlaanderen.be/ns/adres#Adres";"http://data.vlaanderen.be/ns/adres#AdresStatus";;1;1
"attribute";"OSLO-Organisatie";"vestigingsAdres";;"Vestiging";"ContactInfo";"Vestigingsadres";"Adres vd Vestiging.";"Kan email, telefoon en ook adres zijn (in welk geval ook niet-fysieke adressen mogelijk zijn).";;"true";"https://www.w3.org/ns/org#";"siteAddress";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Site";"https://schema.org/ContactPoint";;0;1
"attribute";"OSLO-Organisatie";"lidVanTot";;"Lidmaatschap";;"Lid Van Tot";"Periode waarin de Agent lid was vd Organisatie.";;;"true";"https://www.w3.org/ns/org#";"memberDuring";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"https://www.w3.org/ns/org#Membership";;;0;1
"attribute";"OSLO-Organisatie";"rol";;"Lidmaatschap";"Rol";"Rol";"Rol die de Agent vervult als lid van de Organisatie.";;;"true";"https://www.w3.org/ns/org#";"role";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Membership";"https://www.w3.org/TR/vocab-org/#org:Role";;1;1
"attribute";"OSLO-Organisatie";"alternatieveNaam";;"Organisatie";"String";"Alternatieve Naam";"Andere naam waaronder de organisatie bekend is.";"Bv commerciële naam, informele naam";;"true";"http://www.w3.org/2004/02/skos/core#";"altLabel";"http://www.w3.org/2002/07/owl#DatatypeProperty";"https://www.w3.org/ns/org#Organization";"http://www.w3.org/2001/XMLSchema#string";;0;"*"
"attribute";"OSLO-Organisatie";"classificatie";;"Organisatie";"OrganisatieClassificatie";"Classificatie";"Rangschikking van de Organisatie in een classificatiesysteem.";;;"true";"https://www.w3.org/ns/org#";"classification";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Organization";"http://www.w3.org/2004/02/skos/core#Concept";;0;1
"attribute";"OSLO-Organisatie";"code";;"Organisatie";"String";"Code";"Code waarmee de Organisatie kan worden aangeduid;";;;"true";"http://www.w3.org/2004/02/skos/core#";"notation";"http://www.w3.org/2002/07/owl#DatatypeProperty";"https://www.w3.org/ns/org#Organization";"http://www.w3.org/2001/XMLSchema#string";;0;"*"
"attribute";"OSLO-Organisatie";"doel";;"Organisatie";"String";"Bestaanreden vd Organisatie.";"Bestaanreden vd Organisatie.";;;"true";"https://www.w3.org/ns/org#";"purpose";"http://www.w3.org/2002/07/owl#DatatypeProperty";"https://www.w3.org/ns/org#Organization";"http://www.w3.org/2001/XMLSchema#string";;0;"*"
"attribute";"OSLO-Organisatie";"isTeBereikenOp";;"Organisatie";"ContactInfo";"Is Te Bereiken Op";"Informatie zoals email, telefoon die toelaat de Organisatie te contacteren.
";;;"false";"http://data.vlaanderen.be/ns/";"organisatieisTeBereikenOp";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Organization";"https://schema.org/ContactPoint";;0;1
"attribute";"OSLO-Organisatie";"voorkeursNaam";;"Organisatie";"String";"Voorkeursnaam";"Naam waarmee de Organisatie bij voorkeur wordt aangeduid.";;;"true";"http://www.w3.org/2004/02/skos/core#";"prefLabel";"http://www.w3.org/2002/07/owl#DatatypeProperty";"https://www.w3.org/ns/org#Organization";"http://www.w3.org/2001/XMLSchema#string";;1;1
