"EA-Type";"EA-Package";"EA-Name";"EA-Parent";"EA-Domain";"EA-Range";"label-nl";"ap-definition-nl";"ap-usageNote-nl";"ap-codelist";"external term";"namespace";"localname";"type";"domain";"range";"parent";"min card";"max card"
"CLASS";"OSLO-Organisatie";"Lidmaatschap";;;;"Lidmaatschap";"Geeft de kenmerken weer vh lidmaatschap van een Agent van een Organisatie.";;;"true";"https://www.w3.org/ns/org#";"Membership";"http://www.w3.org/2000/01/rdf-schema#Class";;;;;
"CLASS";"OSLO-Generiek";"Agent";;;;"TODO";"TODO";;;"true";"http://purl.org/dc/terms/";"Agent";"http://www.w3.org/2000/01/rdf-schema#Class";;;;;
"CLASS";"OSLO-Organisatie";"FormeleOrganisatie";"com.github.informatievlaanderen.oslo_ea_to_rdf.ea.impl.MemoryEAElement@7ac9af2a";;;"Formele Organisatie";"Een erkende Organisatie, erkend in brede zin of  meer specifiek in juridische zin met bijbehorende rechten en plichten.";"Bvb een bedrijf, een vzw, een overheidsorgaan, een kerkgemeenschap.";;"true";"https://www.w3.org/ns/org#";"FormalOrganization";"http://www.w3.org/2000/01/rdf-schema#Class";;;"https://www.w3.org/ns/org#Organization";;
"CLASS";"OSLO-Organisatie";"OrganisatieEenheid";"com.github.informatievlaanderen.oslo_ea_to_rdf.ea.impl.MemoryEAElement@7ac9af2a";;;"Organisatie-eenheid";"Een Organisatie zoals een afdeling of dienst die deel uitmaakt van de grotere Organisatie en zijn bestaansreden daaraan ontleent. Heeft geen juridische status op zich.";"Organisatie-eenheden kunnen groot en complex zijn en bestaan uit andere Organisatie-eenheden.";;"true";"https://www.w3.org/ns/org#";"OrganizationalUnit";"http://www.w3.org/2000/01/rdf-schema#Class";;;"https://www.w3.org/ns/org#Organization";;
"CLASS";"OSLO-Organisatie";"Organisatie";"com.github.informatievlaanderen.oslo_ea_to_rdf.ea.impl.MemoryEAElement@78e89bfe";;;"Organisatie";"Een aantal mensen georganiseerd in een gemeenschap of andere sociale, commerciële of politieke structuur. De groep heeft een gemeenschappelijk doel of bestaanreden die de individuele leden ervan overstijgt en kan handelen als Agent. Een organisatie heeft dikwijls een hiërarchische structuur.";;;"true";"https://www.w3.org/ns/org#";"Organization";"http://www.w3.org/2000/01/rdf-schema#Class";;;"http://purl.org/dc/terms/Agent";;
"connector";;"isSuborganisatieVan";;"Organisatie";"Organisatie";"Is Suborganisatie Van";"Verwijst naar de Organisatie die deze Organisatie omvat.";"Wordt gebruikt om een hiërarchie van organisaties te documenteren.";;"true";"https://www.w3.org/ns/org#";"subOrganizationOf";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Organization";"https://www.w3.org/ns/org#Organization";;0;"*"
"connector";;"heeft";;"Organisatie";"Functie";"Heeft";"Verwijst naar een Functie binnen de organisatie.";;;"true";"https://www.w3.org/ns/org#";"hasPost";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Organization";"https://www.w3.org/ns/org#Post";;0;"*"
"connector";;"isGeassocieerdMet";;"Organisatie";"Organisatie";"Is Geassocieerd Met";"Niet nader bepaalde relatie met een andere Organisatie.";"Bv om subsidiëring of bevooradingsketens te documenteren. Dient in dat geval verder gespecialiseerd te worden.";;"true";"https://www.w3.org/ns/org#";"linkedTo";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Organization";"https://www.w3.org/ns/org#Organization";;;
"connector";;"isVeranderdDoor";;"Organisatie";"VeranderingsMoment";"Is Veranderd Door";"Verwijst naar het Veranderingsmoment dat deze Organisatie heeft veranderd.";"NOTE";;"true";"https://www.w3.org/ns/org#";"changedBy";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Organization";"https://www.w3.org/ns/org#ChangeEvent";;0;1
"connector";;"heeftVestiging";;"Organisatie";"Vestiging";"Heeft Vestiging";"Verwijst naar een plek waar de Organisatie op een of andere manier, desnoods indirect, aanwezig is.";"Indirect bvb een virtueel kantoor waarvan de locatie niet rechtstreeks achterhaald kan worden (bv postbus). In België mogen in de KBO geregistreerde organisaties enkel fysieke locaties als vestiging registreren.";;"true";"https://www.w3.org/ns/org#";"hasSite";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Organization";"https://www.w3.org/ns/org#Site";;0;"*"
"connector";;"isHetResultaatVan";;"Organisatie";"VeranderingsMoment";"Is Het Resultaat Van";"Verwijst naar het Veranderingsmoment dat tot de huidige Organisatie heeft geleid.";"NOTE";;"true";"https://www.w3.org/ns/org#";"resultedFrom";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Organization";"https://www.w3.org/ns/org#ChangeEvent";;0;1
"connector";;"heeftEenheid";;"Organisatie";"OrganisatieEenheid";"Heeft Eenheid";"Verwijst naar een Organisatie-eenheid die deel uitmaakt van de Organisatie, bv een afdeling.";;;"true";"https://www.w3.org/ns/org#";"hasUnit";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Organization";"https://www.w3.org/ns/org#OrganizationalUnit";;0;"*"
